epc,upc
E2806810000000395F975533,337857223
E2806810000000395F981133,400991743656
E2806810000000395F980C76,337857384
E2806810000000395F975FCB,400991743915
E2806810000000395F980A13,337866706
E2806810000000395F975FDF,400991744189
E2806810000000395F9864CD,337866713
E2806810000000395F975874,400991744417
E2806810000000395F974CE1,337865181
E2806810000000395F9808FF,400991744776
E2806810000000395F981B14,337857407
E2806810000000395F975085,400991745001
E2806810000000395F975424,337857391
E2806810000000395F981A2D,400991745193
E2806810000000395F975DC5,70000090936
E2806810000000395F981094,400026304203
E2806810000000395F9760E9,70000669262
E2806810000000395F975BC4,400897319511
E2806810000000395F97542A,70000720574
E2806810000000395F97675F,400898104161
E2806810000000395F973689,70000820625
E2806810000000395F986C4C,400900823219
E2806810000000395F9802A0,70000790522
E2806810000000395F972F04,70000885679
E2806810000000395F986876,400902207079
E2806810000000395F9736C5,400903361442
E2806810000000395F972D91,400906696893
E2806810000000395F986BA4,70000841484
E2806810000000395F973451,70000894343
E2806810000000395F97343E,400907211293
E2806810000000395F9802C7,70000999918
E2806810000000395F986B53,400908655720
E2806810000000395F977330,400910856351
E2806810000000395F973B44,720473052183
E2806810000000395F97FF3B,400914125026
E2806810000000395F986977,70000535024
E2806810000000395F98764B,400914101860
E2806810000000395F973325,720473009330
E2806810000000395F976A35,70000946837
E2806810000000395F980722,400915707290
E2806810000000395F9801E4,400922508781
E2806810000000395F973320,400925234755
E2806810000000395F97731C,720473121445
E2806810000000395F973473,70000070976
E2806810000000395F972535,400933905425
E2806810000000395F976B8D,720473144963
E2806810000000395F9736A2,70000311710
E2806810000000395F973517,400933925720
E2806810000000395F976B67,400934002666
E2806810000000395F986C38,70000493164
E2806810000000395F97330C,400934073116
E2806810000000395F9870A4,70000523182
E2806810000000395F9732FB,70000575358
E2806810000000395F972787,400934083405
E2806810000000395F980EE3,70000257643
E2806810000000395F9801E3,400934084204
E2806810000000395F986511,70000583865
E2806810000000395F9870B7,400934092575
E2806810000000395F9870A3,70000160776
E2806810000000395F972695,400934178620
E2806810000000395F98765F,70000168680
E2806810000000395F986C6D,400934199144
E2806810000000395F986DF9,400920276620
E2806810000000395F972671,70000682438
E2806810000000395F986B54,720473038491
E2806810000000395F976DE5,400896624234
E2806810000000395F98708F,70000737381
E2806810000000395F973339,400897110149
E2806810000000395F97676C,70000776069
E2806810000000395F9736A1,400900083514
E2806810000000395F972C70,70000847370
E2806810000000395F972681,400902536599
E2806810000000395F97334E,70000765308
E2806810000000395F98698A,400904665358
E2806810000000395F973261,70000712838
E2806810000000395F9804A2,400907353221
E2806810000000395F986853,70000872402
E2806810000000395F972CF2,400906697623
E2806810000000395F973335,400934139560
E2806810000000395F972684,720473602609
E2806810000000395F97342C,400987278919
E2806810000000395F972949,22892196494
E2806810000000395F98003D,400920646669
E2806810000000395F98017C,400922054844
